seed,runtime_s
500000,30.859
500001,26.607
500002,26.224
500003,27.612
500004,27.589
500005,26.788
500006,27.728
500007,27.357
500008,25.957
500009,24.359
500010,27.286
500011,26.384
500012,27.16
500013,27.409
500014,26.676
500015,27.828
500016,27.07
500017,25.595
500018,26.315
500019,27.055
500020,26.358
500021,28.312
500022,27.457
500023,27.306
500024,26.151
500025,27.056
500026,27.955
500027,26.282
500028,26.783
500029,27.821
500030,26.303
500031,27.975
500032,26.032
500033,26.257
500034,25.176
500035,29.14
500036,27.432
500037,27.882
500038,27.547
500039,26.71
500040,27.274
500041,26.603
500042,28.019
500043,26.286
500044,27.607
500045,27.358
500046,28.343
500047,26.969
500048,28.675
500049,26.13
500050,26.312
500051,25.641
500052,27.978
500053,27.206
500054,28.031
500055,26.793
500056,28.746
500057,28.84
500058,26.851
500059,28.698
500060,28.776
500061,30.111
500062,31.529
500063,30.195
500064,27.243
500065,25.866
500066,26.651
500067,28.194
500068,26.521
500069,28.75
500070,28.534
500071,26.886
500072,29.573
500073,26.053
500074,24.686
500075,27.487
500076,25.723
500077,27.867
500078,27.561
500079,28.456
500080,27.777
500081,26.109
500082,27.092
500083,28.363
500084,26.777
500085,26.251
500086,26.263
500087,27.627
500088,28.359
500089,27.217
500090,26.986
500091,27.847
500092,28.472
500093,30.687
500094,29.114
500095,27.592
500096,27.77
500097,28.831
500098,27.916
500099,26.194
peak_rss_mb,1156.6
