unit,rmse,k,d,p_align,label
Andalucia,0.05577712791809495,1,5.735555062564577,0.0004997501249375312,RECOVERABLE
Aragon,0.3940337682477961,1,5.629394432184566,0.0004997501249375312,RECOVERABLE
Principado De Asturias,0.03252222400825989,1,5.6145496211805614,0.0004997501249375312,RECOVERABLE
Baleares (Islas),2.249044439788456,1,4.675931905380526,0.0004997501249375312,RECOVERABLE
Canarias,0.9948648713016847,1,5.3814855502184615,0.0004997501249375312,RECOVERABLE
Cantabria,0.6967706369472682,1,5.666424526167671,0.0004997501249375312,RECOVERABLE
Castilla Y Leon,0.8932353897221734,1,5.656569418864605,0.0004997501249375312,RECOVERABLE
Castilla-La Mancha,1.2102041966884765,1,5.594601390097452,0.0004997501249375312,RECOVERABLE
Cataluna,1.0402663643982946,1,5.593216955148442,0.0004997501249375312,RECOVERABLE
Comunidad Valenciana,0.5640688954333318,1,5.663314620333905,0.0004997501249375312,RECOVERABLE
Extremadura,0.686640566781042,1,5.882652420906781,0.0004997501249375312,RECOVERABLE
Galicia,0.11099429401911025,1,5.672540934373722,0.0004997501249375312,RECOVERABLE
Madrid (Comunidad De),2.092064486513275,1,5.796148352839508,0.0004997501249375312,RECOVERABLE
Murcia (Region de),0.3203662784806904,1,5.536895016278945,0.0004997501249375312,RECOVERABLE
Navarra (Comunidad Foral De),0.12526638728901893,1,5.511481052030887,0.0004997501249375312,RECOVERABLE
Rioja (La),0.7908847633945292,1,5.567751853550182,0.0004997501249375312,RECOVERABLE
