unit,rmse,k,d,p_align,r_align,label,stability_pass,boot_donor_q05,boot_donor_q95
USA,4.921733003056106,1,440794082.5530882,0.0004997501249375312,60.32582283351236,RECOVERABLE,False,373818015.39999926,502380545.92445093
UK,7.773361770889886,1,466673543.22219753,0.0004997501249375312,55.96646444260181,RECOVERABLE,False,389424329.41318005,544498460.6325158
Austria,5.3452505142414575,1,454338431.9141546,0.0004997501249375312,57.43964623246568,RECOVERABLE,False,385139408.2250496,519388051.04020923
Belgium,8.853689216978498,1,457375005.6881578,0.0004997501249375312,67.70930698110385,RECOVERABLE,False,378395644.6970643,523147728.6328032
Denmark,4.815358470301427,1,458007571.3459664,0.0004997501249375312,69.72045379203072,RECOVERABLE,False,393054743.15304697,533011712.7366758
France,10.620042138466879,1,458256501.02207005,0.0004997501249375312,65.63848999985706,RECOVERABLE,False,384735821.541135,529274320.31190175
Italy,3.6320822893592535,1,458956229.41104865,0.0004997501249375312,60.45990410914242,RECOVERABLE,False,389897929.9856082,522445334.38746
Netherlands,9.26900255422,1,458842428.3768764,0.0004997501249375312,60.7889735198228,RECOVERABLE,False,379569556.70172644,532612190.5190336
Norway,9.587767495883313,1,455097846.48110527,0.0004997501249375312,65.91140119188229,RECOVERABLE,False,393020985.406099,525187457.2052594
Switzerland,12.416108575917999,1,438983207.86299026,0.0004997501249375312,65.25553363153635,RECOVERABLE,False,378967741.9366954,496685552.50963455
Japan,31.014796686213575,1,457411116.62826604,0.0004997501249375312,63.487159958618854,RECOVERABLE,False,377998443.34617513,523329724.03988534
Greece,16.554204037673248,1,476172037.4815265,0.0004997501249375312,60.92717299136977,RECOVERABLE,False,407176683.9223042,544257994.0692014
Portugal,36.6789329933423,1,480760087.8463598,0.0004997501249375312,63.87564683094196,RECOVERABLE,False,415795776.73591995,549972483.2359776
Spain,10.67677723352582,1,475105595.1006433,0.0004997501249375312,59.295082950635894,RECOVERABLE,False,405048153.67129874,538570545.5813507
Australia,2.8522430461475103,1,459949072.8583071,0.0004997501249375312,61.06981776390072,RECOVERABLE,False,387345124.1747243,531812414.3737485
New Zealand,10.256563888027733,1,470149299.95624214,0.0004997501249375312,66.17921233973642,RECOVERABLE,False,393171011.79381883,536205877.2933153
