n,T0,m,ks_medp,gate_rate,top_mean
81,81,0.55,0.23563462379583794,0.07,3.8964442448566268
81,81,0.6000000000000001,0.16230370978788058,0.04,3.871792264085316
81,81,0.65,0.040991505622300084,0.07,3.888839427473659
81,81,0.7000000000000001,0.020618971772870955,0.04,3.890873930889408
81,81,0.75,0.03834244400390433,0.07666666666666666,3.921579604808436
81,81,0.8,0.029472160042027778,0.11666666666666667,3.947553247940682
81,81,0.8500000000000001,0.001758298457474489,0.07,3.8993524706319107
81,81,0.9,0.00010507196221774744,0.17666666666666667,3.992678066655798
81,81,0.95,0.03481717842119392,0.07,3.907430023729799
81,81,1.0,0.002240011085554232,0.06666666666666667,3.9089422423927225
81,81,1.05,2.0412043795622116e-07,0.24,4.031697229666726
81,81,1.1,5.89421764321091e-09,0.21333333333333335,4.019236304002332
81,81,1.15,7.645568272828996e-12,0.42333333333333334,4.197685977162084
81,81,1.2,7.522973772640937e-09,0.20333333333333334,4.015842393004177
81,81,1.25,1.305214175850598e-06,0.14,3.9811234680783385
81,81,1.2999999999999998,1.3585401924256583e-14,0.46,4.1738568759349866
81,81,1.35,4.847349081236872e-21,0.5,4.223505659037364
81,81,1.4,1.711350441348141e-17,0.42,4.185839106339766
81,81,1.45,6.680656119052794e-18,0.36666666666666664,4.139504545030602
81,81,1.5,2.9627776547787775e-17,0.3566666666666667,4.132897877351439
81,81,1.5499999999999998,1.0963437551842723e-22,0.6733333333333333,4.3854690407884735
81,81,1.5999999999999999,2.3926359390381663e-30,0.7633333333333333,4.516270684509506
81,81,1.65,3.3387270207795404e-29,0.74,4.533433774394748
121,121,0.55,0.3984462882425403,0.02,3.9092687057862654
121,121,0.6000000000000001,0.019464412304084674,0.03666666666666667,3.9222565453843283
121,121,0.65,0.17280699788719125,0.02666666666666667,3.899138133052866
121,121,0.7000000000000001,0.024539864957011562,0.02666666666666667,3.928103501652496
121,121,0.75,0.0015664313628454712,0.12333333333333334,4.013053431623627
121,121,0.8,0.0030522902043037866,0.07,3.9459395498207392
121,121,0.8500000000000001,0.0010000640897532378,0.02666666666666667,3.914889826585661
121,121,0.9,0.004524369481125359,0.03333333333333333,3.9222219910408316
121,121,0.95,0.00039078265037869307,0.09333333333333334,3.9803876977703627
121,121,1.0,1.0441620119707589e-06,0.13333333333333333,4.018548520148743
121,121,1.05,1.287948858859838e-08,0.22666666666666666,4.060561890312018
121,121,1.1,1.5714779440265926e-08,0.16,4.0197602885185155
121,121,1.15,4.979019156701552e-15,0.4533333333333333,4.184128105700224
121,121,1.2,8.993502756562473e-10,0.25666666666666665,4.083955201448118
121,121,1.25,9.500963836539231e-07,0.06,3.9597562262370607
121,121,1.2999999999999998,7.886990308814713e-11,0.23333333333333334,4.074111042237609
121,121,1.35,3.005571652715249e-16,0.49,4.196772028479419
121,121,1.4,4.856769658476332e-18,0.3933333333333333,4.154547016256789
121,121,1.45,2.1777937008763295e-21,0.42333333333333334,4.1954602826931655
121,121,1.5,6.0870734823663746e-27,0.6766666666666666,4.376527664014291
121,121,1.5499999999999998,3.1168683559750237e-21,0.4533333333333333,4.213539755093638
121,121,1.5999999999999999,1.053351814030518e-25,0.5166666666666667,4.253206213817242
121,121,1.65,1.846880765044221e-23,0.5766666666666667,4.269947576439317
161,161,0.55,0.47146821944279843,0.01,3.918381739856862
161,161,0.6000000000000001,0.2993984090380214,0.0,3.926333083135514
161,161,0.65,0.03481717842119392,0.016666666666666666,3.93665300011063
161,161,0.7000000000000001,0.034404455127043994,0.02,3.9517215363372715
161,161,0.75,0.06760120819388392,0.016666666666666666,3.9377203392319036
161,161,0.8,0.051621858593928975,0.016666666666666666,3.944664410455499
161,161,0.8500000000000001,0.00040156833367826594,0.07666666666666666,4.000328855053928
161,161,0.9,2.283286005111195e-05,0.07,4.007152916541181
161,161,0.95,5.120365183528339e-05,0.06333333333333334,3.9816171862762864
161,161,1.0,0.0017097491037739486,0.04,3.9639256620680596
161,161,1.05,6.267871974987597e-07,0.17,4.050459192310682
161,161,1.1,5.852277926590708e-10,0.14333333333333334,4.04707674865348
161,161,1.15,1.2030632252219409e-05,0.1,4.007430153704013
161,161,1.2,4.480756135289637e-06,0.05,3.9738453498561355
161,161,1.25,5.05028138670874e-11,0.22666666666666666,4.084016407426285
161,161,1.2999999999999998,1.0359831654190967e-16,0.38333333333333336,4.169646816422649
161,161,1.35,1.221060032702533e-18,0.5333333333333333,4.245584615103044
161,161,1.4,3.005571652715249e-16,0.28,4.108966928626102
161,161,1.45,2.3993322823651287e-15,0.4266666666666667,4.173949043663821
161,161,1.5,4.932677369719072e-19,0.5066666666666667,4.2108926776574505
161,161,1.5499999999999998,8.566758485442795e-16,0.37666666666666665,4.158147563825457
161,161,1.5999999999999999,1.499135164910701e-30,0.7866666666666666,4.420490684369203
161,161,1.65,1.6860591986573068e-28,0.76,4.386444141331861
241,241,0.55,0.3798075237589341,0.0033333333333333335,3.931731376328427
241,241,0.6000000000000001,0.3504349124091359,0.0,3.925599603977597
241,241,0.65,0.17725373834515445,0.013333333333333334,3.944254025849418
241,241,0.7000000000000001,0.23812901385823923,0.0,3.9330473934395
241,241,0.75,0.03253394495457345,0.006666666666666667,3.9583814960965817
241,241,0.8,0.087338832053631,0.0033333333333333335,3.951047356162119
241,241,0.8500000000000001,0.051621858593928975,0.0,3.938855718986947
241,241,0.9,9.634478064332607e-07,0.03666666666666667,4.00252636977298
241,241,0.95,0.17280699788719125,0.0033333333333333335,3.9593037006050817
241,241,1.0,0.0008974699850243937,0.02666666666666667,3.9989409198188164
241,241,1.05,7.6258741754700314e-06,0.06666666666666667,4.015165173340574
241,241,1.1,2.8296304592278678e-08,0.056666666666666664,4.015038749001589
241,241,1.15,3.979928365457934e-06,0.08,4.027672769243521
241,241,1.2,7.645568272828996e-12,0.17,4.0729934964165535
241,241,1.25,1.7498760637502067e-10,0.20333333333333334,4.091146492825128
241,241,1.2999999999999998,1.571776641107198e-11,0.11333333333333333,4.047340344787446
241,241,1.35,1.7991592531093477e-15,0.37,4.171281536787113
241,241,1.4,2.646797956735394e-17,0.42333333333333334,4.177904530023728
241,241,1.45,1.0476795225292684e-24,0.6,4.270015143977616
241,241,1.5,2.888772374446797e-19,0.5,4.218068965648399
241,241,1.5499999999999998,1.5289617952904948e-17,0.33,4.137574294680741
241,241,1.5999999999999999,3.381885434991487e-27,0.77,4.363054578011281
241,241,1.65,7.836886917941228e-28,0.66,4.281474653072215
361,361,0.55,0.6119875335777911,0.0033333333333333335,3.9406035734088594
361,361,0.6000000000000001,0.23812901385823923,0.0,3.9538158541687736
361,361,0.65,0.612814786688729,0.0,3.9542273241912835
361,361,0.7000000000000001,0.3389859770423096,0.0,3.953681635345553
361,361,0.75,0.6846775221232848,0.0033333333333333335,3.9583687594370653
361,361,0.8,0.14437076427478668,0.0,3.9605461729799285
361,361,0.8500000000000001,0.12629919147464688,0.0,3.9667993917300457
361,361,0.9,0.009365027846561945,0.006666666666666667,3.982342644997913
361,361,0.95,0.051621858593928975,0.006666666666666667,3.970488239353267
361,361,1.0,0.00014879475786234626,0.013333333333333334,4.004148271700078
361,361,1.05,6.674387231402918e-05,0.043333333333333335,4.014499358607404
361,361,1.1,0.0005170164854092004,0.013333333333333334,4.00783833549572
361,361,1.15,1.5288572104984453e-07,0.09,4.06146021217913
361,361,1.2,2.7839340668354284e-06,0.07333333333333333,4.049143403594306
361,361,1.25,1.1486379007153942e-07,0.05333333333333334,4.027853454460665
361,361,1.2999999999999998,7.886990308814713e-11,0.16333333333333333,4.085007831056692
361,361,1.35,7.263403090436854e-16,0.33666666666666667,4.145898836864884
361,361,1.4,1.786727117113059e-14,0.2733333333333333,4.132789827069573
361,361,1.45,1.3982133399166624e-21,0.4766666666666667,4.20227646881512
361,361,1.5,1.3830378761273284e-23,0.6466666666666666,4.262900820093611
361,361,1.5499999999999998,2.6996710303046046e-20,0.4633333333333333,4.200882927988864
361,361,1.5999999999999999,3.1168683559750237e-21,0.5233333333333333,4.226310741478847
361,361,1.65,7.5550273200349945e-31,0.9233333333333333,4.488194560472221
541,541,0.55,0.5415786570370735,0.0,3.957449193610133
541,541,0.6000000000000001,0.6846775221232848,0.0,3.96163993289152
541,541,0.65,0.6360443096267168,0.0,3.959302534444634
541,541,0.7000000000000001,0.6362655310789909,0.0,3.970124768118647
541,541,0.75,0.47146821944279843,0.0,3.9705358574609377
541,541,0.8,0.17725373834515445,0.0,3.9682311641111556
541,541,0.8500000000000001,0.33126224959588446,0.0,3.9786619340883664
541,541,0.9,0.006749038648198431,0.0,3.982431133853167
541,541,0.95,0.07016165001706817,0.0033333333333333335,3.9912129441723625
541,541,1.0,0.22284497580000698,0.0,3.9825535578366695
541,541,1.05,0.014623079388284917,0.0033333333333333335,4.002703125570974
541,541,1.1,6.58446552570827e-05,0.013333333333333334,4.026913298560198
541,541,1.15,0.0013725207161995282,0.0,4.000551230595653
541,541,1.2,0.001758298457474489,0.006666666666666667,4.015835429819698
541,541,1.25,2.8040334786638074e-11,0.16333333333333333,4.1081406766294775
541,541,1.2999999999999998,9.271721130220437e-08,0.05333333333333334,4.049957991904828
541,541,1.35,3.7343001272755696e-09,0.09666666666666666,4.081533707478459
541,541,1.4,1.3366893588893423e-16,0.45666666666666667,4.193161706968564
541,541,1.45,1.3079343933546515e-16,0.36,4.162158282290803
541,541,1.5,2.6987212655820096e-19,0.5133333333333333,4.209607094503716
541,541,1.5499999999999998,3.5442429699694417e-22,0.7566666666666667,4.296468229692656
541,541,1.5999999999999999,1.2836582186013153e-26,0.7633333333333333,4.304639585625158
541,541,1.65,7.836886917941228e-28,0.7866666666666666,4.306987095604993
