unit,rmse,k,d,p_align,r_align,label,stability_pass,boot_donor_q05,boot_donor_q95
Arkansas,0.1477859575591341,2,25.200450052083323,0.5867066466766616,0.7592891415411501,FRAGILE-MISALIGNED,True,15.904513240123029,164.71673014425153
Connecticut,0.1305936932335244,2,24.684122023104553,0.7821089455272364,0.3462323445176699,FRAGILE-MISALIGNED,True,17.410741169800996,173.59234218087366
Delaware,0.3039252382193804,2,32.30801200868641,0.3233383308345827,1.5846358240321448,FRAGILE-MISALIGNED,True,17.807009658804915,157.02693834848864
Hawaii,0.21941033653803108,2,27.354401059862138,0.5962018990504747,0.7457837872844625,FRAGILE-MISALIGNED,True,17.602851098322162,184.15913500559142
Iowa,0.08594486848629272,2,23.90771455984647,0.13043478260869565,2.7031401873441046,FRAGILE-MISALIGNED,True,16.295322743008487,133.11436106143603
Maine,0.19261708275162265,2,26.421974593115426,0.41379310344827586,1.3001138699362158,FRAGILE-MISALIGNED,True,18.736753741363618,192.63575451824406
Maryland,0.1090366312160839,2,24.787652229522184,0.7286356821589205,0.46038817236086144,FRAGILE-MISALIGNED,True,16.120488831183543,180.2947985538798
Massachusetts,0.06916224455838095,2,23.79747902207995,0.21139430284857572,2.2199163781310753,FRAGILE-MISALIGNED,False,15.441677921989303,153.7485490068911
Nebraska,0.16197143122984303,2,25.683448159446584,0.974512743628186,0.03988838640997489,FRAGILE-MISALIGNED,True,17.088369840523104,172.3122700362061
New Jersey,0.07248118516284627,2,23.732340332777003,0.2368815592203898,2.2074212552516927,FRAGILE-MISALIGNED,True,16.243022016087497,150.87706333449165
New York,0.05618684141469689,2,23.615019974517722,0.8615692153923038,0.21849041781890788,FRAGILE-MISALIGNED,True,15.309199661582921,137.0555253043851
North Dakota,0.40893475649089667,1,24.796694204233546,0.6531734132933533,0.41947423006255297,FRAGILE-MISALIGNED,True,17.0321610346991,130.9531445618143
Ohio,0.07039054463602887,2,23.776126728727373,0.9430284857571214,0.08725412962113888,FRAGILE-MISALIGNED,True,15.998769526993069,142.03559552257465
Rhode Island,0.23148193917077625,3,40.046157401311234,0.2753623188405797,1.653039778579861,FRAGILE-MISALIGNED,True,20.006941938166808,158.37592952945982
Wyoming,0.5351372210485925,1,13.015989848621325,0.743128435782109,0.21312562289634404,FRAGILE-MISALIGNED,True,13.895765500905624,114.222309907058
